         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:5(HTTPStatus)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
       16    0.000    0.000    0.074    0.005 pyparsing.py:1844(__init__)
      187    0.000    0.000    0.000    0.000 pyparsing.py:1730(<genexpr>)
       72    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:260(<dictcomp>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
       68    0.000    0.000    0.011    0.000 __init__.py:1476(get_metadata_lines)
       97    0.000    0.000    0.000    0.000 pyparsing.py:3421(<genexpr>)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
       64    0.000    0.000    0.000    0.000 pyparsing.py:950(preParse)
      168    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        9    0.000    0.000    0.011    0.001 pyparsing.py:1727(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:261(<dictcomp>)
       29    0.000    0.000    0.000    0.000 argparse.py:1365(_add_action)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
      114    0.000    0.000    0.000    0.000 opcode.py:41(def_op)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       48    0.000    0.000    0.000    0.000 __init__.py:1622(<genexpr>)
       62    0.000    0.000    0.000    0.000 argparse.py:1283(_registry_get)
        1    0.000    0.000    0.000    0.000 __init__.py:262(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
     10/2    0.000    0.000    0.004    0.002 pyparsing.py:2392(parseImpl)
      166    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       24    0.000    0.000    0.001    0.000 pyparsing.py:1878(parseImpl)
        1    0.000    0.000    0.000    0.000 __init__.py:258(<dictcomp>)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       27    0.000    0.000    0.018    0.001 re.py:215(finditer)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
